"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M","S","UV","pctL","pctM","pctS","pctUV"
"hmgb1a","hmgb1a",2.94132366139715,0.318859738374241,1.28019848884802e-12,3.16349848579235e-08,0.5,0.359,2.69195796856707,2.63017701613331,5.27625636197411,1.16690329891411,36.3750786658276,33.3333333333333,50,15
"rps20","rps20",14.5835495364717,0.167098649090931,9.74017091843507e-12,2.40689363565449e-07,0.927,0.841,10.6966805618071,12.5497914829689,16.5631920077566,18.524534093354,84.2039018250472,80.6201550387597,92.6829268292683,95
"prph2a","prph2a",12.0470165946325,0.241269846183888,1.16112929466589e-11,2.86926660004888e-07,0.841,0.817,11.9151984002771,13.1684614589009,15.3796035732726,7.7248029460792,82.2529893014475,75.1937984496124,84.1463414634146,80
"ptmab","ptmab",47.687559096964,-0.0134645937199465,1.46542650347755e-11,3.62121543274337e-07,0.988,0.993,40.5728312969968,57.6102389038236,45.8456903619146,46.7214758251208,99.3077407174324,100,98.780487804878,95
"hmgb2a","hmgb2a",11.1254456520782,0.156996233015124,9.03614463268891e-11,2.23292170018376e-06,0.854,0.812,10.0012731091637,10.4070300751907,14.0671895506611,10.0262898732973,81.6236626809314,76.7441860465116,85.3658536585366,80
"ppdpfa","ppdpfa",24.8095997965435,0.126407475711031,1.05688962051432e-10,2.61167994125294e-06,0.976,0.932,28.1846504563821,23.0078878819871,34.1309755231945,13.9148853246104,93.7067337948395,88.3720930232558,97.5609756097561,80
"si:dkey-97a13.12","si:dkey-97a13.12",23.5563221537803,0.249213470993428,1.23801611801095e-10,3.05926162921687e-06,0.902,0.855,22.4763479382347,26.2414094220918,30.5561008444451,14.9514304103497,84.8961611076149,93.7984496124031,90.2439024390244,80
"rps2","rps2",9.18514115609884,0.182902493629367,2.1920936029179e-10,5.41688250217042e-06,0.78,0.744,6.96253652899283,8.10994907759133,10.2614007566458,11.4066782611654,74.3864065449969,72.8682170542636,78.0487804878049,85
"higd1a","higd1a",4.67136974201223,0.246612403410969,2.35227057884907e-10,5.81269582739394e-06,0.598,0.483,4.0508293969641,4.06734588650743,7.2502343819569,3.31706930262052,48.7098804279421,43.4108527131783,59.7560975609756,45
"hmgn2","hmgn2",2.72196504050537,0.324578420885065,3.66057103793018e-10,9.04563709182927e-06,0.293,0.283,1.64287270408753,2.24028328525393,4.16098729537466,2.84371687730536,28.508495909377,24.031007751938,29.2682926829268,35
"si:busm1-57f23.1","si:busm1-57f23.1",5.03925095044232,-0.888245374251268,4.76835678031718e-10,1.17830864398418e-05,0.317,0.651,14.1516019104997,1.49044415463533,3.11511196929243,1.39984576734186,69.2888609188169,20.1550387596899,31.7073170731707,20
"nme2a","nme2a",17.4582701204653,0.0398794260405413,1.12695319567812e-09,2.7848140418402e-05,0.915,0.906,16.6709590011346,12.6528010824146,18.9521567551501,21.557163643162,91.1894273127753,82.1705426356589,91.4634146341463,95
"si:ch211-113d22.2","si:ch211-113d22.2",9.48544089393279,0.105324057997105,1.32006973230443e-09,3.26202431549748e-05,0.756,0.659,7.40886440879735,9.57377867962996,11.3923095017021,9.56681098560171,65.5129011957206,68.9922480620155,75.609756097561,80
"gngt1","gngt1",29.4624060356712,0.0202347241922562,1.60133442918356e-09,3.95705750795548e-05,0.976,0.937,23.2392675792434,29.0180438053452,30.3591290207306,35.2331837373658,93.7067337948395,93.7984496124031,97.5609756097561,90
"rbp4l","rbp4l",188.470061082728,0.0778998847773722,1.75069010303622e-09,4.32613031361281e-05,1,0.998,193.450648567479,172.701135641175,215.762744852204,171.965715270056,99.8112020138452,100,100,100
"gapdhs","gapdhs",23.0351086060304,0.0414095280355584,2.42214873446317e-09,5.98537173773194e-05,0.939,0.959,20.3631832997037,19.5894759831802,23.2644361323339,28.9233390089039,95.9723096286973,93.7984496124031,93.9024390243902,100
"pde6g","pde6g",10.8056180955355,0.0861650201131094,2.45053377183631e-09,6.05551400358471e-05,0.671,0.68,7.89897536252591,8.41131501961014,12.3969508158838,14.5152311841223,68.2819383259912,63.5658914728682,67.0731707317073,75
"atp1b2b","atp1b2b",11.4105744313465,0.133159415475201,2.55510292831376e-09,6.31391484615613e-05,0.805,0.782,10.8402738477471,12.1293766886906,15.1521042297062,7.52054295924227,77.9735682819383,82.1705426356589,80.4878048780488,70
"rps19","rps19",11.9371337823705,0.124268876889154,3.934480458757e-09,9.72249466163443e-05,0.866,0.807,9.04771286073859,10.9279851144861,13.0561384534372,14.7166987008202,81.1202013845186,75.968992248062,86.5853658536585,80
"rps18","rps18",6.05665420177592,0.172167790484866,4.55122046612649e-09,0.000112465208938452,0.671,0.647,5.02072802233665,5.81348708853082,7.85011322256954,5.5422884736667,65.1982378854625,59.6899224806201,67.0731707317073,60
"cirbpb","cirbpb",5.33636448728596,0.184023971172412,5.27022272166163e-09,0.000130232473674981,0.646,0.576,4.86047870450238,5.52134959074089,7.52830305811079,3.43532659578978,58.1497797356828,52.7131782945737,64.6341463414634,45
"tegt","tegt",4.29019833868133,0.169390930333186,5.43262846357014e-09,0.000134245681963282,0.585,0.557,3.86371179792711,4.440422841261,5.87999676207894,2.97666195345827,56.3876651982379,51.1627906976744,58.5365853658537,30
"ncaldb","ncaldb",20.5717897687589,0.222746857235521,6.4041540304615e-09,0.000158253050246734,0.744,0.818,27.1635352821457,18.6226747164211,30.6147804288969,5.88616864757198,82.1900566393958,79.8449612403101,74.390243902439,60
"si:dkey-16p21.8","si:dkey-16p21.8",11.9887428556845,0.191348718213149,8.51288609877178e-09,0.000210361928386749,0.744,0.67,6.84917262799303,7.31099502331126,10.9299172389013,22.8648865325323,67.0862177470107,62.7906976744186,74.390243902439,90
"ubl3a","ubl3a",2.0460171817129,0.237054553666548,9.28930668955725e-09,0.000229548057605649,0.415,0.309,1.84967969165058,1.82708545593574,3.34538614662235,1.16191743264294,31.3404657016992,27.906976744186,41.4634146341463,15
"rho","rho",89.4449676813053,-0.00430454742247699,1.26429297092748e-08,0.000312419436045889,0.988,0.979,66.7911232023944,85.0890331511987,95.0444874128697,110.855226958758,97.8602894902454,98.4496124031008,98.780487804878,100
"dap1b","dap1b",3.71974535748778,0.173316737322265,1.34817420515795e-08,0.000333147327836581,0.451,0.37,2.39799460312227,2.95127187778863,4.51739614873435,5.01231880030589,37.1302706104468,33.3333333333333,45.1219512195122,50
"si:ch73-281n10.2","si:ch73-281n10.2",9.69548448991912,0.0927069139529701,1.42100519237836e-08,0.000351144593088616,0.805,0.795,8.5790735628759,9.94751851592978,10.209099358279,10.0462465225918,79.7356828193833,79.0697674418605,80.4878048780488,65
"gnat1","gnat1",18.0915009984073,0.0788658730542482,1.84771265574847e-08,0.000456588274362004,0.841,0.818,13.7718076211456,16.9964990140041,20.3686063271189,21.2290910313605,81.686595342983,82.9457364341085,84.1463414634146,85
