"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M","S","UV","pctL","pctM","pctS","pctUV"
"map1ab","map1ab",5.5127328409051,-0.0652741100891918,4.22384170165372e-05,1,0.622,0.682,5.28988680043335,7.96822268489566,3.36241261138514,5.43040926690625,62.2404027690371,68.2170542635659,43.9024390243902,50
"tmsb4x","tmsb4x",15.8167606580388,-0.0224478123237406,5.14122255227867e-05,1,0.863,0.922,12.8972952005447,16.3849167453865,17.1184182282728,16.8664124579511,86.3436123348018,92.2480620155039,90.2439024390244,100
"si:dkey-126g1.9","si:dkey-126g1.9",6.77339214921508,-0.144878802053878,5.16614697124321e-05,1,0.358,0.566,2.97083602065106,5.33728219323692,8.59702791468359,10.1884224682887,35.8086847073631,56.5891472868217,64.6341463414634,75
"tulp1a","tulp1a",4.18519575744243,0.367932497435025,9.91140453748946e-05,1,0.632,0.38,5.60753777109342,2.95909347648443,4.32430133412772,3.84985044806414,63.2473253618628,37.984496124031,46.3414634146341,35
"cst3","cst3",11.3137872967634,0.469118968248663,0.00010098614953888,1,0.867,0.752,15.1483349583077,10.5873654047077,10.7857312562351,8.73371756780309,86.6582756450598,75.1937984496124,80.4878048780488,75
"crhbp","crhbp",0.861108771491836,0.423775758291955,0.000106344010391236,1,0.307,0.023,2.42436083453331,0.112067238278731,0.9080070131553,0,30.7111390811831,2.32558139534884,15.8536585365854,0
"kcnv2b","kcnv2b",3.54338259810188,-0.0662984342341076,0.000153183103799897,1,0.455,0.558,3.04470534242482,4.75874996472517,3.49979512643854,2.870279958819,45.5003146633103,55.8139534883721,50,35
"atp6ap1lb","atp6ap1lb",2.88149103757281,-0.0711417369682742,0.000169803884654641,1,0.394,0.481,2.40355540331058,3.95964599287322,1.68114597333924,3.48161678076818,39.3958464443046,48.062015503876,28.0487804878049,45
"jam3b","jam3b",0.762757431548551,-0.168296627455664,0.000256001827384157,1,0.178,0.302,0.863947306056336,2.06682029766739,0.120262122470482,0,17.8099433606042,30.2325581395349,3.65853658536585,0
"grk1b","grk1b",4.45548318832124,-0.0708686589481875,0.000276219429306101,1,0.466,0.574,4.09279422866333,6.37147048996205,3.27922810355962,4.07843993109996,46.6331025802391,57.3643410852713,47.5609756097561,50
"zgc:162331","zgc:162331",3.14009110310999,-0.0778522049841392,0.00032012269853718,1,0.338,0.388,2.06200359228531,3.52628435689524,3.41910955794705,3.55296690531238,33.7948395217118,38.7596899224806,43.9024390243902,50
"ywhaqb","ywhaqb",1.58067348842257,-0.108250518776466,0.000338054798856634,1,0.242,0.318,1.24702803785669,2.45852265191467,1.63933802178007,0.977805242138851,24.2290748898678,31.7829457364341,28.0487804878049,15
"guca1b","guca1b",3.28270712031204,-0.0873366734139633,0.000452364843504679,1,0.325,0.426,2.30149125208747,4.07236302068245,3.04949478229103,3.7074794261872,32.5361862806797,42.6356589147287,36.5853658536585,40
"tmsb1","tmsb1",8.52699450496588,-0.0404035593076078,0.00046265341220161,1,0.604,0.659,5.4694565779285,7.52716794424786,7.49080247874853,13.6205510189386,60.4153555695406,65.8914728682171,68.2926829268293,85
"gnb1b","gnb1b",6.88342880287424,-0.0509907007677894,0.000490966448108312,1,0.516,0.574,4.80488707821585,6.81077728296446,7.40689210236511,8.51115874795152,51.6047828823159,57.3643410852713,52.4390243902439,50
"ptmaa","ptmaa",12.8690165964748,-0.00129182956108531,0.000495889146402281,1,0.811,0.829,11.004198788511,13.7622777270511,13.5314625258012,13.1781273445357,81.057268722467,82.9457364341085,81.7073170731707,95
"mt-atp6","mt-atp6",221.120250610762,0.333451037346409,0.0005499515725785,1,1,1,255.267779177729,220.388887311707,190.846146487374,217.978189466238,100,100,100,100
"ndrg4","ndrg4",3.47061157340912,-0.0858445194203183,0.000667530758295677,1,0.384,0.457,2.99449091589311,4.76995553835131,2.68057288773963,3.43742695165243,38.3889238514789,45.7364341085271,36.5853658536585,45
"aanat2","aanat2",2.37055567708857,0.341999381733037,0.000797026938783607,1,0.473,0.326,4.46604699592235,2.40313053266483,2.43063000282437,0.182415176942722,47.3253618628068,32.5581395348837,28.0487804878049,5
"atp5l","atp5l",10.971995752074,0.365593802909219,0.000926738027895606,1,0.865,0.667,11.395908494573,8.29953722009131,11.9311145022561,12.2614227913756,86.469477658905,66.6666666666667,85.3658536585366,90
"hmgn7","hmgn7",3.44094784017587,-0.0327417964183956,0.00112763095003425,1,0.467,0.519,3.06823247712745,4.63127054092971,3.22141337939722,2.84287496324909,46.6960352422907,51.937984496124,43.9024390243902,40
"lmbrd1","lmbrd1",3.48272829744962,-0.0348232297823289,0.00118799357983274,1,0.515,0.519,3.68512362283812,4.92028194624649,3.00121211544977,2.32429550526412,51.5418502202643,51.937984496124,39.0243902439024,40
"rpl23","rpl23",5.24940020057092,-0.0243882635596292,0.00121118683539041,1,0.631,0.659,5.03849291342675,7.00346783707996,5.82447227326531,3.13116777851169,63.1214600377596,65.8914728682171,63.4146341463415,45
