"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","Ribo","L","M1","M3","M4","S","UV","pctRibo","pctL","pctM1","pctM3","pctM4","pctS","pctUV"
"mt-nd5","mt-nd5",8.81852534423486,-0.701866699296257,0.0550082946562027,1,0.511,0.797,3.36358286460527,10.8626553544494,8.74742781956593,10.2891455816765,13.5499224187869,8.01200869417,6.90493467639004,51.063829787234,81.1831340465702,73.2142857142857,69.8630136986301,87.1428571428571,63.4146341463415,55
"cnep1r1","cnep1r1",0.579235278483715,-0.0584819846912546,0.0550615158644762,1,0.106,0.156,0.495280055562131,0.7745474758388,0.949368944578524,1.08678912490779,0.455708014483595,0.29295333401517,0,10.6382978723404,16.4254247954688,14.2857142857143,17.8082191780822,10,7.31707317073171,0
"cd81a","cd81a",0.63074632260913,0.0580091157202614,0.0554153181039228,1,0.149,0.111,0.88266814734642,0.51240374631259,0.738217436184611,0.414264078453049,0.499878815790021,0.581869006816428,0.785923027360788,14.8936170212766,10.9502831969792,14.2857142857143,9.58904109589041,11.4285714285714,12.1951219512195,10
"CU929259.1","CU929259.1",0.72819167450231,0.0269001942117373,0.0554862447265081,1,0.149,0.121,0.773761522455756,0.576434607865316,0.92801454010929,0.841830861626862,0.608571862508703,0.525729938345392,0.84299838860485,14.8936170212766,12.0830711139081,12.5,9.58904109589041,15.7142857142857,12.1951219512195,10
"cox7c","cox7c",10.7016640288391,-0.762687406247017,0.0558429596597786,1,0.553,0.889,4.56111485924005,14.1700052522563,9.78830952059286,11.528964426148,9.63222165960492,13.4811491549475,11.749883329084,55.3191489361702,90.3713027061045,76.7857142857143,79.4520547945205,84.2857142857143,84.1463414634146,80
"atf4a","atf4a",0.953341237088959,-0.117259561761049,0.0558468550887153,1,0.085,0.193,0.458259952443924,0.928542106666773,1.43420054753209,1.24319792719121,0.930193737413207,0.703684734126453,0.975309654249062,8.51063829787234,19.2573945877911,21.4285714285714,23.2876712328767,20,15.8536585365854,15
"si:dkey-126g1.9","si:dkey-126g1.9",5.06435998107242,-0.604402700883481,0.0561253905289854,1,0,0.39,0,2.97083602065106,5.22823317756019,5.42093623266017,3.0450640536632,8.59702791468359,10.1884224682887,0,35.8086847073631,58.9285714285714,54.7945205479452,40,64.6341463414634,75
"eif3jb","eif3jb",0.732318051819358,0.0832665936994051,0.0562817596305229,1,0.17,0.102,1.00449694606117,0.473779775835461,0.548898204106356,0.47279867275506,0.630465263912678,0.529313434681498,1.46647406538328,17.0212765957447,10.0062932662052,12.5,9.58904109589041,11.4285714285714,9.75609756097561,20
"polr2i","polr2i",0.453935104108628,0.17897561244456,0.0563649298067734,1,0.277,0.08,1.53532381176678,0.376723409853046,0.203777589231326,0.215888104463466,0.348985952723204,0.292848492709515,0.203998368013056,27.6595744680851,8.30711139081183,3.57142857142857,4.10958904109589,10,7.31707317073171,5
"stk35l","stk35l",0.770738690610511,-0.0344597799176964,0.0565487624696693,1,0.106,0.145,0.646772771243972,0.643744612021729,1.14161208807344,0.820501307711033,0.936677476054806,1.06623677632023,0.139625802848366,10.6382978723404,14.0339836375079,16.0714285714286,12.3287671232877,22.8571428571429,19.5121951219512,5
"tulp1a","tulp1a",3.90041725234979,-0.206955969162896,0.0571420036685023,1,0.426,0.599,4.00164858088869,5.60753777109342,1.99348461706281,3.69983451932842,3.82626349588332,4.32430133412772,3.84985044806414,42.5531914893617,63.2473253618628,28.5714285714286,45.2054794520548,48.5714285714286,46.3414634146341,35
"atg13","atg13",0.695038379656744,-0.0489645777043645,0.0573010163054807,1,0.106,0.15,0.505310176176559,0.71111995976164,0.586525531972676,0.220993464806905,0.704355906216982,1.5740277057822,0.562935912880249,10.6382978723404,14.9779735682819,12.5,4.10958904109589,12.8571428571429,29.2682926829268,10
"rx2","rx2",0.51448049907433,0.115947693013937,0.0573442918665933,1,0.213,0.093,1.35667722082526,0.511500397422669,0.320184802579804,0.162918523269749,0.926589171497215,0.323493377925617,0,21.2765957446809,9.75456261799874,7.14285714285714,2.73972602739726,14.2857142857143,4.8780487804878,0
"fbxo9","fbxo9",0.53875820401717,0.0108760972791487,0.0577658258041304,1,0.149,0.124,0.782113189566969,0.596636494117622,0.407644062281771,0.633221821779233,0.679600297849972,0.672091562524626,0,14.8936170212766,12.586532410321,8.92857142857143,12.3287671232877,14.2857142857143,13.4146341463415,0
"camk2g2","camk2g2",0.614061461998011,-0.00148999090313551,0.0579506510347223,1,0.128,0.132,0.825550430630113,0.646987009638752,0.105601081355073,0.608758463277094,0.558731073773356,0.623581272173498,0.929220903138191,12.7659574468085,13.7822529893014,1.78571428571429,9.58904109589041,14.2857142857143,12.1951219512195,15
"rpf1","rpf1",0.61241888336303,0.0904043827476975,0.0579919026940364,1,0.17,0.099,1.12401366356304,0.456399877153048,0.813276230542084,0.359658832467359,0.568051931685062,0.566297044272182,0.399234603858429,17.0212765957447,9.75456261799874,8.92857142857143,6.84931506849315,14.2857142857143,12.1951219512195,10
"tpi1b","tpi1b",1.16244129728279,-0.153953852174905,0.0580007220787041,1,0.085,0.247,0.749529906406938,1.38702378035385,1.21412276708306,1.55575005826024,0.889593041520007,1.5382411980696,0.802828329285804,8.51063829787234,25.2989301447451,19.6428571428571,24.6575342465753,15.7142857142857,24.390243902439,20
"ubald1a","ubald1a",0.658678061555009,-0.0271804029147951,0.0581158900082318,1,0.106,0.14,0.555983847686815,0.69216752176899,0.704435833288982,0.713625042585966,0.320270493113109,0.66295143727637,0.961312255164828,10.6382978723404,14.6003775959723,10.7142857142857,12.3287671232877,7.14285714285714,12.1951219512195,15
"mrpl11","mrpl11",0.762443729595685,-0.0652250985761447,0.0581202665039977,1,0.106,0.159,0.416104081957194,0.808416201940441,0.620345926089459,0.741101974676513,0.915728943094831,1.10392987199871,0.731479107412645,10.6382978723404,16.0478288231592,7.14285714285714,13.6986301369863,17.1428571428571,19.5121951219512,15
"kmt2cb","kmt2cb",0.857827590672512,0.0362329731047499,0.0581282129820946,1,0.17,0.115,0.946289819570345,0.513049054789628,1.34536207739017,1.09271242843914,0.691739538452274,0.572641827461176,0.84299838860485,17.0212765957447,11.0132158590308,21.4285714285714,15.0684931506849,14.2857142857143,9.75609756097561,10
"safb","safb",0.556502961269126,0.0437624204412353,0.0581434542719283,1,0.149,0.114,0.86328398999582,0.535601016241667,0.780953555633079,0.433233994393187,0.513327542826599,0.565122261780473,0.203998368013056,14.8936170212766,11.7054751415985,10.7142857142857,8.21917808219178,10,10.9756097560976,5
"arglu1a","arglu1a",0.85264521342995,-0.0493081967030036,0.0581760356414898,1,0.128,0.151,0.697547901572249,0.733294905340557,1.29231075895079,0.642420855315665,1.08081900887309,0.954781264530652,0.567341799426638,12.7659574468085,15.2297042164884,19.6428571428571,9.58904109589041,20,10.9756097560976,10
"rogdi","rogdi",0.870253508327411,-0.0462285978854895,0.0583921348571464,1,0.085,0.149,0.589362314867001,0.744466310228824,0.759481759303211,0.543011556430374,0.645211531705795,0.70011365677648,2.11012742898019,8.51063829787234,15.29263687854,16.0714285714286,8.21917808219178,10,10.9756097560976,35
