"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M","S","UV","pctL","pctM","pctS","pctUV"
"rpl13","rpl13",4.06355051910213,0.155687542218985,0.00796304607700781,1,0.6,0.488,3.31100721222732,3.20106117614096,3.83774581528553,5.9043878727547,49.3392070484581,39.5348837209302,53.6585365853659,60
"rps16","rps16",6.64223578841154,0.0930904230660119,0.00801900670819004,1,0.7,0.641,5.31099565105196,5.86741326244141,5.87709814841643,9.51343609173636,64.2542479546885,64.3410852713178,60.9756097560976,70
"cox5aa","cox5aa",4.73401213471079,0.0919296568300496,0.00809011466002892,1,0.65,0.558,3.94552370337751,3.72226664966463,3.74753063808569,7.52072754771532,56.7023285084959,50.3875968992248,47.5609756097561,65
"pde6g","pde6g",10.8056180955355,0.108064786187462,0.00889611647341477,1,0.75,0.679,7.89897536252591,8.41131501961014,12.3969508158838,14.5152311841223,68.2819383259912,63.5658914728682,67.0731707317073,75
"gngt2a","gngt2a",52.1542225910251,-1.05381707737815,0.010360425530566,1,0.85,0.981,94.9970639696525,28.9039245276694,42.8200474881121,41.8958543786666,98.5525487728131,94.5736434108527,93.9024390243902,85
"atp5g1","atp5g1",11.0560025465391,0.0561359188633386,0.0107032031916839,1,0.8,0.844,9.88268945975153,9.93568404039952,9.89065743420449,14.514979251801,84.7702957835116,79.0697674418605,86.5853658536585,80
"gapdhs","gapdhs",23.0351086060304,-0.04802026710513,0.0107377051914591,1,1,0.957,20.3631832997037,19.5894759831802,23.2644361323339,28.9233390089039,95.9723096286973,93.7984496124031,93.9024390243902,100
"aanat2","aanat2",2.37055567708857,-0.621031524420294,0.0107548810339113,1,0.05,0.454,4.46604699592235,2.40313053266483,2.43063000282437,0.182415176942722,47.3253618628068,32.5581395348837,28.0487804878049,5
"opn1sw2","opn1sw2",121.501076687962,1.65779949904586,0.0117706987035617,1,0.6,0.298,3.85491250485091,9.91389434856209,303.188871596713,169.04662830172,25.5506607929515,37.984496124031,98.780487804878,60
"slc1a2a","slc1a2a",4.44885773711332,-0.716031474393533,0.0118800635426753,1,0.15,0.447,5.92173710507021,5.25438106867157,5.31404458638664,1.30526818832486,44.8709880427942,41.0852713178295,46.3414634146341,15
"CNGA1 (1 of many)","CNGA1 (1 of many)",3.53349630719865,0.267826308781083,0.0126122303921784,1,0.45,0.324,2.4499807701257,3.00745799020611,2.85532181264487,5.82122465581793,32.4732536186281,34.8837209302326,28.0487804878049,45
"si:ch211-276a17.5","si:ch211-276a17.5",2.72520224222244,0.16307931057156,0.0142310978148123,1,0.5,0.359,2.23273991260063,2.65598457111722,1.97702053402868,4.03506395114321,36.1862806796727,34.1085271317829,34.1463414634146,50
"gngt1","gngt1",29.4624060356712,0.091756081365564,0.0145359390583647,1,0.9,0.939,23.2392675792434,29.0180438053452,30.3591290207306,35.2331837373658,93.7067337948395,93.7984496124031,97.5609756097561,90
"cnga3a","cnga3a",11.1578569452166,-0.669679511863817,0.0149941737833713,1,0.7,0.714,12.2453386842026,13.4063168737225,13.1080443916369,5.87172783130428,70.9880427942102,80.6201550387597,64.6341463414634,70
"rpl18","rpl18",6.9609961435611,0.0680215260973198,0.0152478936355662,1,0.75,0.671,5.73300403409777,6.04087848461864,7.15111762921967,8.91898442630833,67.2750157331655,62.7906976744186,69.5121951219512,75
"grk7a","grk7a",5.31549662877491,-0.59262502930016,0.0155919888466202,1,0.3,0.658,6.54690395653353,5.42692643598836,6.49435400093574,2.79380212164202,67.0862177470107,53.4883720930233,59.7560975609756,30
"si:ch73-1a9.3","si:ch73-1a9.3",6.86197479833918,0.0836231840096788,0.0161490958492618,1,0.8,0.642,5.66127231497069,5.95307381652942,6.74509571454373,9.08845734731289,64.6947765890497,57.3643410852713,64.6341463414634,80
"agpat3","agpat3",4.98635106085272,0.153057002016649,0.0163713023264369,1,0.6,0.535,3.89019929536926,5.281624639388,4.1812638733646,6.59231643528904,53.5556954059157,55.0387596899225,50,60
"si:ch1073-469d17.2","si:ch1073-469d17.2",7.87351488431309,-0.746311738913507,0.0166632470604189,1,0.6,0.693,10.3491598712661,7.69689121978715,9.13464578869956,4.31336265749953,70.1699181875393,60.4651162790698,67.0731707317073,60
"ndufb3","ndufb3",5.30145852095264,0.0946484602547264,0.0169768981578641,1,0.75,0.632,5.03903990978363,4.2993893860168,4.15122821671204,7.7161765712981,64.4430459408433,52.7131782945737,54.8780487804878,75
"lrit1b","lrit1b",3.86413717173792,-0.562025580464381,0.0180820080015734,1,0.2,0.585,5.21094303357243,4.10899628288412,4.09263404472515,2.04397532576999,59.9748269351794,44.9612403100775,51.219512195122,20
"ndufs5","ndufs5",4.59313467314412,0.0728694232328747,0.0192214669295698,1,0.7,0.529,3.69970472940154,3.64658180618552,4.1330871492709,6.89316500771852,53.8074260541221,43.4108527131783,51.219512195122,70
"tpi1a","tpi1a",2.81785061392758,0.118150750313956,0.0201209050879469,1,0.5,0.369,2.18832740567361,2.76261430458973,2.29146310850189,4.02899763694508,37.0044052863436,35.6589147286822,37.8048780487805,50
"rpl7a","rpl7a",8.05395055648443,0.0233645188625403,0.0225545051647452,1,0.75,0.726,6.51346505873111,7.20543466782748,8.02079545475342,10.4761070446257,72.5613593455003,72.0930232558139,74.390243902439,75
