"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M1","M3","M4","S","UV","pctL","pctM1","pctM3","pctM4","pctS","pctUV"
"ckmt2a","ckmt2a",25.5036349088,-0.382812268968354,1.46257939301745e-06,0.0361417993808542,0.957,0.969,26.6201532465145,24.4038010471654,23.7175961924188,20.0275932627747,27.7368941908892,30.5157715130376,97.1050975456262,100,93.1506849315068,95.7142857142857,93.9024390243902,95
"si:dkey-190l8.2","si:dkey-190l8.2",5.41562444435839,-0.431725867600324,1.9493844028541e-06,0.0481712379789276,0.343,0.549,5.23288601815088,4.71834970988437,5.85935254921777,2.21235248986357,6.72447690772072,7.74632899131303,54.625550660793,48.2142857142857,53.4246575342466,34.2857142857143,64.6341463414634,60
"guk1b","guk1b",15.6832570246044,-0.442451217143219,2.09710223852103e-06,0.0518214934160931,0.829,0.933,21.5908888926747,12.7293320321344,15.5014457564983,14.1427642396485,14.8583093667062,15.2768018599642,94.3989930774072,87.5,91.7808219178082,82.8571428571429,78.0487804878049,90
"ckbb","ckbb",78.196131329864,-0.306657321754808,2.36702622285281e-06,0.0584915849929158,1,0.998,96.0734484900612,73.6514829508331,80.5155939373443,72.2695608181054,76.5485580022142,70.1181437806256,99.8112020138452,100,100,100,100,95
"tmem237a","tmem237a",11.5846160800446,-0.425106458087649,2.42374273866865e-06,0.0598931068152411,0.7,0.795,11.143407820909,13.9624694744472,9.51053672420454,6.82206563607487,12.9781855985211,15.0910312261111,79.4839521711768,83.9285714285714,72.6027397260274,70,79.2682926829268,90
"TMEM269","TMEM269",5.98477958143888,0.34889091047332,3.04213512455568e-06,0.0751742010628955,0.657,0.621,5.49541492723145,6.56120303433614,5.52910962978732,8.5342618633082,5.6048473473568,4.18384068661337,63.3102580239144,60.7142857142857,53.4246575342466,65.7142857142857,53.6585365853659,40
"inaa","inaa",11.1166196982303,-0.417250909873878,3.20220416286003e-06,0.0791296670684342,0.743,0.874,13.4051122517738,13.7925710064416,12.8382834004503,8.36761120805112,10.3462398709301,7.94990045173492,88.2315921963499,87.5,80.8219178082192,74.2857142857143,79.2682926829268,75
"cox7c","cox7c",11.7250888904389,-0.366373836415163,4.27351841490844e-06,0.105602913550803,0.843,0.891,14.1700052522563,9.78830952059286,11.528964426148,9.63222165960492,13.4811491549475,11.749883329084,90.3713027061045,76.7857142857143,79.4520547945205,84.2857142857143,84.1463414634146,80
"chchd10","chchd10",18.8819275433758,-0.363259552584863,4.30252655744193e-06,0.106319733760947,0.871,0.932,18.7514458895944,19.7166225651109,19.0834267771074,13.4987358062309,17.2382890461408,25.0030451760702,93.3291378225299,91.0714285714286,90.4109589041096,87.1428571428571,93.9024390243902,95
"si:ch1073-111c8.3","si:ch1073-111c8.3",8.86249249319233,-0.399582243843905,5.72958004761827e-06,0.141583652556695,0.657,0.777,9.8081833147289,14.0497330531093,9.52612378011564,5.52974925786249,8.36930828778788,5.89185726554983,78.4140969162996,78.5714285714286,73.972602739726,65.7142857142857,71.9512195121951,60
