"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M","S","UV","pctL","pctM","pctS","pctUV"
"mif","mif",2.04868956798033,0.301308324163546,0.066440035694972,1,0.402,0.15,2.05151134769069,1.98821564080144,3.31572099625803,0.839310287171176,37.0044052863436,32.5581395348837,40.2439024390244,15
"rps29","rps29",5.00468793185973,0.293761118528163,0.068943559570167,1,0.683,0.4,4.62549122677506,4.28939655083794,6.72747887743185,4.37638507239406,59.7230962869729,50.3875968992248,68.2926829268293,40
"actb2","actb2",6.87103095436132,0.335921929352441,0.0696650142761528,1,0.671,0.55,6.66812582668532,7.52822478928822,7.85283745233781,5.43493574913394,71.1139081183134,70.5426356589147,67.0731707317073,55
"camk1ga","camk1ga",5.75795044806833,0.429133567211214,0.069682691879531,1,0.561,0.65,4.86830038656134,4.804605620203,7.6921034758772,5.66679230963179,54.8772813089994,48.8372093023256,56.0975609756098,65
"gnat2","gnat2",43.48253274063,0.401534486966222,0.0745506428897112,1,1,0.95,44.0887594546125,49.9628191616153,42.6215619694591,37.2569903768331,97.608558842039,98.4496124031008,100,95
"mt-co2","mt-co2",318.344615608683,-0.0744608471819115,0.0783624613842564,1,1,1,341.936505986668,326.497543413819,265.267198753439,339.677214280806,100,100,100,100
"si:ch1073-111c8.3","si:ch1073-111c8.3",8.8898025017503,0.291644715621786,0.0789206112576805,1,0.72,0.6,9.8081833147289,11.4898611389346,8.36930828778788,5.89185726554983,78.4140969162996,75.968992248062,71.9512195121951,60
"ndufa6","ndufa6",5.61005403170827,-0.211278568170784,0.0793362056801733,1,0.61,0.8,4.66611482814238,4.49458202584961,5.01198194551949,8.26753732732159,61.9886721208307,51.1627906976744,60.9756097560976,80
"cox4i2","cox4i2",4.03830241781901,0.26744381021079,0.0814603701415475,1,0.549,0.2,5.74484533493189,4.70136428720951,4.04424450097905,1.66275554815559,65.1982378854625,53.4883720930233,54.8780487804878,20
"sypb","sypb",3.03978510465453,0.293761118528163,0.0832629725415206,1,0.476,0.25,4.10944916154165,3.15210668614345,3.15448905912109,1.74309551181193,55.1290119572058,38.7596899224806,47.5609756097561,25
"cst3","cst3",11.3137872967634,0.293761118528163,0.0897617319306607,1,0.805,0.75,15.1483349583077,10.5873654047077,10.7857312562351,8.73371756780309,86.6582756450598,75.1937984496124,80.4878048780488,75
"cox5aa","cox5aa",4.73401213471079,-0.17884329241763,0.0943445616182376,1,0.476,0.65,3.94552370337751,3.72226664966463,3.74753063808569,7.52072754771532,56.7023285084959,50.3875968992248,47.5609756097561,65
"cpe","cpe",4.63709741572011,0.274289015115343,0.0957785598367235,1,0.683,0.55,4.61948269303879,4.30705342466394,5.59242915575595,4.02942438942176,59.7230962869729,50.3875968992248,68.2926829268293,55
"ywhabl","ywhabl",3.06437040855314,-0.249573783803122,0.0964344110971915,1,0.293,0.5,2.6088015031584,3.08217000428673,1.80721469183416,4.75929543493329,42.35368156073,40.3100775193798,29.2682926829268,50
"ndufa11","ndufa11",3.82874607496444,-0.232331977368616,0.0974004223957272,1,0.402,0.7,3.04980320370459,2.95463989708779,3.34170138126596,5.96883981779941,48.080553807426,37.984496124031,40.2439024390244,70
