"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M1","M3","M4","S","UV","pctL","pctM1","pctM3","pctM4","pctS","pctUV"
"si:ch73-141c7.1","si:ch73-141c7.1",4.50196444295341,-0.305437108054371,0.00811029089071217,1,0.464,0.548,5.38092351063971,3.83095456570354,5.68243239192204,3.26754514091503,7.25232798559162,1.59760306294848,56.5764631843927,46.4285714285714,54.7945205479452,34.2857142857143,58.5365853658537,25
"ckbb","ckbb",78.196131329864,-0.212667938680197,0.00978897431562499,1,1,1,96.0734484900612,73.6514829508331,80.5155939373443,72.2695608181054,76.5485580022142,70.1181437806256,99.8112020138452,100,100,100,100,95
"lin7a","lin7a",2.14352511364653,0.395727932830306,0.00996912421385331,1,0.375,0.164,1.51246000659446,3.39157587621095,0.890304989630953,2.1922113654499,1.55649627304275,3.31810217095016,25.3618628067967,37.5,16.4383561643836,32.8571428571429,23.1707317073171,35
"dynll1","dynll1",3.65800784027942,-0.272846540741001,0.0110092719276014,1,0.321,0.493,3.70345055280552,2.515990750702,4.65392448351643,2.65212770646218,5.15021855034612,3.27233499784425,49.2133417243549,32.1428571428571,49.3150684931507,42.8571428571429,54.8780487804878,40
"atp5b","atp5b",10.8825876232566,-0.252275273898908,0.0133504952093291,1,0.768,0.849,12.2416557780779,9.86676501021335,12.9705607009264,10.2904051181297,9.99580971873099,9.93032941346121,89.1126494650724,76.7857142857143,84.9315068493151,91.4285714285714,84.1463414634146,85
"atp1a3b","atp1a3b",5.5872489860083,-0.264949235280636,0.0141610493587418,1,0.554,0.644,6.75330089363995,5.03069664327199,6.67237809683957,4.67780697589234,7.08025445551911,3.30905685088683,68.4078036500944,55.3571428571429,64.3835616438356,61.4285714285714,64.6341463414634,45
"mt-nd3","mt-nd3",28.7395883501325,-0.218910122207305,0.0142069318346038,1,0.946,0.959,30.9706520094448,25.2822317544184,32.7527349207267,30.2464387350528,26.6947135368018,26.4907591443506,98.4896161107615,94.6428571428571,95.8904109589041,100,98.780487804878,80
"neurod1","neurod1",3.87017624111515,0.274960046856254,0.0163634371313145,1,0.429,0.288,4.52826646263441,5.15830746606636,2.21441030555297,3.4623739871851,3.07767388757246,4.78002533767957,44.8709880427942,42.8571428571429,28.7671232876712,47.1428571428571,37.8048780487805,50
"camk1ga","camk1ga",5.1566516804181,-0.250056274951347,0.0165937436599885,1,0.393,0.562,4.86830038656134,3.75197646904787,5.6121019553357,3.34863548605472,7.6921034758772,5.66679230963179,54.8772813089994,39.2857142857143,56.1643835616438,45.7142857142857,56.0975609756098,65
"cirbpa","cirbpa",5.07338571607937,-0.235355086317202,0.0175880837463802,1,0.5,0.589,5.20403489852037,3.80091602822714,6.04693971374396,3.91165956013283,6.60740131827948,4.86936277757243,59.7860289490245,50,58.9041095890411,50,64.6341463414634,50
"AC024175.4","AC024175.4",202.947010049614,-0.127412193102886,0.0176181740130462,1,1,1,217.977075497878,184.438898106042,206.804837297017,212.819953184684,185.013621425139,210.627674786924,100,100,100,100,100,100
"sub1b","sub1b",2.84700452872465,-0.264714374043404,0.0187615037338193,1,0.268,0.411,3.06352649365695,1.91202781316879,3.5729665087876,2.47520828526415,3.523284342018,2.53501372945242,47.45122718691,26.7857142857143,41.0958904109589,42.8571428571429,50,35
"gadd45ga","gadd45ga",1.68815593838496,-0.384867258281495,0.0190492848666986,1,0.214,0.301,2.06853839784821,1.41519631659518,3.57299724454526,0.826054930453466,1.75659925920527,0.489549481662399,28.6972938955318,21.4285714285714,30.1369863013699,17.1428571428571,24.390243902439,10
"tulp1a","tulp1a",3.88354536425997,-0.250899232094746,0.0203292267969217,1,0.286,0.452,5.60753777109342,1.99348461706281,3.69983451932842,3.82626349588332,4.32430133412772,3.84985044806414,63.2473253618628,28.5714285714286,45.2054794520548,48.5714285714286,46.3414634146341,35
"rsrp1","rsrp1",3.00171596729307,0.255157419560074,0.0236277843188153,1,0.482,0.26,2.56121471598928,4.25442590994686,1.93987091679491,4.52913503946583,2.6641545937754,2.06149462778615,40.2139710509755,48.2142857142857,26.027397260274,51.4285714285714,32.9268292682927,25
"slc12a7b","slc12a7b",3.33828615041306,-0.245717873352749,0.0248304551475673,1,0.25,0.452,2.71837922452499,2.22483950323164,3.72059189142074,2.88147289926765,4.12138380990035,4.363049574133,42.1648835745752,25,45.2054794520548,47.1428571428571,48.780487804878,60
"si:ch73-28h20.1","si:ch73-28h20.1",7.49647687219138,-0.234848201115845,0.0252707431858127,1,0.571,0.671,4.2403612982545,6.03566870261458,7.96343277590924,4.15028564161176,6.95645278585022,15.632660028908,47.0106985525488,57.1428571428571,67.1232876712329,45.7142857142857,51.219512195122,95
"nsfa","nsfa",2.57441168567223,-0.275131758559042,0.0259466221080568,1,0.161,0.384,2.51165681236941,1.25424259075724,2.84224179009489,2.38191224424697,3.59916980777572,2.85724686878914,42.4795468848332,16.0714285714286,38.3561643835616,42.8571428571429,51.219512195122,35
"camkk1b","camkk1b",2.04814051793402,-0.320941294590336,0.0273900457884702,1,0.143,0.274,2.91585599122396,0.958739429593232,2.84251393982787,1.06345740868947,3.73992852266414,0.768347815605465,29.137822529893,14.2857142857143,27.3972602739726,15.7142857142857,29.2682926829268,15
"calm3a","calm3a",2.89187531533132,-0.240641720320888,0.0279087496220194,1,0.321,0.479,3.69442589593328,2.57968029030705,4.0832445820363,2.26822718131774,1.93514836407198,2.79052557832156,50.8495909376967,32.1428571428571,47.945205479452,34.2857142857143,30.4878048780488,35
"hsp70l","hsp70l",3.46127324555805,-0.357722931729244,0.0279112607843806,1,0.286,0.37,4.08399945737806,2.51437685682217,4.2351224177433,5.42893378881948,2.39751625361432,2.10769069897093,38.2630585273757,28.5714285714286,36.986301369863,41.4285714285714,31.7073170731707,25
"pde6c","pde6c",16.8205292913286,-0.269138147560847,0.0282895813000684,1,0.946,0.904,19.6928841970825,16.9325447531659,19.8454135854125,14.1131271529618,18.5441885286058,11.7950175307434,92.8886091881687,94.6428571428571,90.4109589041096,87.1428571428571,85.3658536585366,85
"rpl7a","rpl7a",7.79258943856957,0.210672543858225,0.0328144773939841,1,0.786,0.671,6.51346505873111,8.93936163844392,5.87529890954638,6.93050852531688,8.02079545475342,10.4761070446257,72.5613593455003,78.5714285714286,67.1232876712329,72.8571428571428,74.390243902439,75
"sypb","sypb",3.07083656724887,-0.214465329848644,0.0356457711939442,1,0.304,0.452,4.10944916154165,2.25523362729022,3.8401188956747,3.32263314805363,3.15448905912109,1.74309551181193,55.1290119572058,30.3571428571429,45.2054794520548,51.4285714285714,47.5609756097561,25
"tmem237a","tmem237a",11.5846160800446,0.249441633668843,0.0371086934101384,1,0.839,0.726,11.143407820909,13.9624694744472,9.51053672420454,6.82206563607487,12.9781855985211,15.0910312261111,79.4839521711768,83.9285714285714,72.6027397260274,70,79.2682926829268,90
"si:dkey-97a13.12","si:dkey-97a13.12",21.8362867930267,-0.258917092419478,0.0374171066888519,1,1,0.89,22.4763479382347,24.8068513422605,27.3418923326473,10.8850978902231,30.5561008444451,14.9514304103497,84.8961611076149,100,89.041095890411,75.7142857142857,90.2439024390244,80
"opn1lw1","opn1lw1",34.7519465996631,-0.472491192717537,0.037476243410758,1,0.339,0.397,95.7374368610778,3.32162698623805,8.10744705916531,59.9972371328832,23.4295055308737,17.9184260277404,91.567023285085,33.9285714285714,39.7260273972603,90,47.5609756097561,65
"gnat2","gnat2",41.8483053986607,-0.210698847053167,0.037561604091118,1,1,0.973,44.0887594546125,46.5864174665049,52.5529355304671,27.9831675940875,42.6215619694591,37.2569903768331,97.608558842039,100,97.2602739726027,95.7142857142857,100,95
"si:ch1073-303d10.1","si:ch1073-303d10.1",8.29166588375806,-0.262002467117249,0.0379099166168227,1,0.696,0.712,12.6117172826723,8.28740329261327,10.726659358788,4.69883332497822,8.89789093330602,4.52749111019055,79.8615481434865,69.6428571428571,71.2328767123288,54.2857142857143,70.7317073170732,50
"marcksl1b","marcksl1b",3.61878713463524,0.235254787263561,0.039856670092338,1,0.411,0.315,3.16219073293938,4.41247764266389,2.45133403051817,4.0884265831503,3.24185970848831,4.3564341100514,38.5147891755821,41.0714285714286,31.5068493150685,50,35.3658536585366,50
"sec61g","sec61g",5.05484587316905,-0.194424578965198,0.0401616352852657,1,0.446,0.589,4.57335050112671,3.75360400584306,5.28088847114123,5.4960980805061,5.49288647412523,5.73224770627199,60.4153555695406,44.6428571428571,58.9041095890411,64.2857142857143,60.9756097560976,55
